ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
688195.SH,20210326,23.0,23.99,21.0,21.05,20151025.0,449472693.0,1.0,13.6,22.3052,0.0,0.0,68.5957,21.9853,54.7794,0,0
688195.SH,20210329,19.65,20.49,19.23,19.46,10949534.0,215108673.0,1.0,21.05,19.6455,0.0,0.0,37.2731,5.9857,-7.5534,0,0
688195.SH,20210330,19.21,20.1,19.08,19.34,5925552.0,116073904.0,1.0,19.46,19.5887,0.0,0.0,20.1711,5.2415,-0.6166,0,0
688195.SH,20210331,19.4,19.4,18.41,18.43,5481822.0,102951427.0,1.0,19.34,18.7805,0.0,0.0,6.9863,5.1189,-4.7053,0,0
688195.SH,20210401,18.42,18.94,18.14,18.25,4003755.0,73863865.0,1.0,18.43,18.4486,0.0,0.0,13.6291,4.3407,-0.9767,0,0
688195.SH,20210402,18.29,19.3,18.11,19.0,4670314.0,87582024.0,1.0,18.25,18.7529,21.9,14.6,15.8981,6.5205,4.1096,0,0
688195.SH,20210406,19.01,19.78,18.68,19.21,4014773.0,77362328.0,1.0,19.0,19.2694,22.8,15.2,13.6666,5.7895,1.1053,0,0
688195.SH,20210407,19.01,19.56,18.81,19.4,3408316.0,65279241.0,1.0,19.21,19.1529,23.05,15.37,11.6022,3.9042,0.9891,0,0
688195.SH,20210408,19.3,19.6,18.88,18.88,3022934.0,58377841.0,1.0,19.4,19.3116,23.28,15.52,10.2903,3.7113,-2.6804,0,0
688195.SH,20210409,18.8,19.16,18.52,18.86,2975783.0,55920346.0,1.0,18.88,18.7918,22.66,15.1,10.1298,3.3898,-0.1059,0,0
688195.SH,20210412,18.8,18.81,18.35,18.36,2027678.0,37547173.0,1.0,18.86,18.5173,22.63,15.09,6.9024,2.439,-2.6511,0,0
688195.SH,20210413,18.48,18.6,18.21,18.43,1340312.0,24633747.0,1.0,18.36,18.3791,22.03,14.69,4.5625,2.1242,0.3813,0,0
