ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
003031.SZ,20210104,18.32,21.99,18.32,21.99,177841.0,3902460.59,1.0,15.27,21.9435,21.99,9.77,0.6669,24.0341,44.0079,0,0
003031.SZ,20210105,24.19,24.19,24.19,24.19,23035.0,557216.65,1.0,21.99,24.19,24.19,19.79,0.0864,0.0,10.0045,0,0
003031.SZ,20210106,26.61,26.61,26.61,26.61,84080.0,2237368.8,1.0,24.19,26.61,26.61,21.77,0.3153,0.0,10.0041,0,0
003031.SZ,20210107,29.27,29.27,29.27,29.27,49471.0,1448016.17,1.0,26.61,29.27,29.27,23.95,0.1855,0.0,9.9962,0,0
003031.SZ,20210108,32.2,32.2,32.2,32.2,110208.0,3548697.6,1.0,29.27,32.2,32.2,26.34,0.4133,0.0,10.0102,0,0
003031.SZ,20210111,35.42,35.42,35.42,35.42,617776.0,21881625.92,1.0,32.2,35.42,35.42,28.98,2.3167,0.0,10.0,0,0
003031.SZ,20210112,38.96,38.96,38.96,38.96,247508.0,9642911.68,1.0,35.42,38.96,38.96,31.88,0.9282,0.0,9.9944,0,0
003031.SZ,20210113,42.86,42.86,42.86,42.86,122757.0,5261365.02,1.0,38.96,42.86,42.86,35.06,0.4603,0.0,10.0103,0,0
003031.SZ,20210114,47.15,47.15,47.15,47.15,79859.0,3765351.85,1.0,42.86,47.15,47.15,38.57,0.2995,0.0,10.0093,0,0
003031.SZ,20210115,51.87,51.87,51.87,51.87,103347.0,5360608.89,1.0,47.15,51.87,51.87,42.44,0.3876,0.0,10.0106,0,0
003031.SZ,20210118,57.06,57.06,57.06,57.06,155882.0,8894626.92,1.0,51.87,57.06,57.06,46.68,0.5846,0.0,10.0058,0,0
003031.SZ,20210119,62.77,62.77,62.77,62.77,402650.0,25274340.5,1.0,57.06,62.77,62.77,51.35,1.5099,0.0,10.007,0,0
003031.SZ,20210120,69.05,69.05,69.05,69.05,287584.0,19857675.2,1.0,62.77,69.05,69.05,56.49,1.0784,0.0,10.0048,0,0
003031.SZ,20210121,75.96,75.96,75.96,75.96,381846.0,29005022.16,1.0,69.05,75.96,75.96,62.14,1.4319,0.0,10.0072,0,0
003031.SZ,20210122,83.56,83.56,83.56,83.56,2883153.0,240916264.68,1.0,75.96,83.56,83.56,68.36,10.8118,0.0,10.0053,0,0
003031.SZ,20210125,85.56,91.88,83.14,87.5,18998546.0,1672504516.21,1.0,83.56,88.0333,91.92,75.2,71.2445,10.4596,4.7152,0,0
003031.SZ,20210126,90.78,91.5,85.0,89.09,10764578.0,954299287.41,1.0,87.5,88.6518,96.25,78.75,40.3672,7.4286,1.8171,0,0
003031.SZ,20210127,84.68,85.0,80.18,80.18,3370734.0,273576602.57,1.0,89.09,81.1623,98.0,80.18,12.6403,5.4103,-10.0011,0,0
003031.SZ,20210128,72.16,72.16,72.16,72.16,988700.0,71344592.0,1.0,80.18,72.16,88.2,72.16,3.7076,0.0,-10.0025,0,0
003031.SZ,20210129,65.64,71.99,64.94,66.0,10934868.0,729344455.11,1.0,72.16,66.699,79.38,64.94,41.0058,9.77,-8.5366,0,0
003031.SZ,20210201,63.0,69.49,62.5,67.6,8441394.0,556324223.83,1.0,66.0,65.9043,72.6,59.4,31.6552,10.5909,2.4242,0,0
003031.SZ,20210202,66.02,67.59,60.84,61.38,8443946.0,538334620.13,1.0,67.6,63.7539,74.36,60.84,31.6648,9.9852,-9.2012,0,0
003031.SZ,20210203,62.8,66.3,62.01,62.45,7320523.0,467526764.42,1.0,61.38,63.8652,67.52,55.24,27.452,6.9892,1.7432,0,0
003031.SZ,20210204,59.8,61.59,56.51,61.25,7406986.0,436918909.28,1.0,62.45,58.9874,68.7,56.21,27.7762,8.1345,-1.9215,0,0
003031.SZ,20210205,63.12,65.6,60.21,60.49,6959056.0,438909631.48,1.0,61.25,63.0703,67.38,55.13,26.0965,8.8,-1.2408,0,0
003031.SZ,20210208,58.47,61.86,56.8,61.86,5299827.0,313604723.44,1.0,60.49,59.1726,66.54,54.44,19.8744,8.365,2.2648,0,0
003031.SZ,20210209,60.51,61.29,57.84,57.88,5357621.0,316484165.29,1.0,61.86,59.0718,68.05,55.67,20.0911,5.5771,-6.4339,0,0
003031.SZ,20210210,56.22,56.49,52.09,52.1,6721463.0,362366525.73,1.0,57.88,53.9119,63.67,52.09,25.2055,7.6019,-9.9862,0,0
003031.SZ,20210218,52.21,54.5,51.51,53.1,4211275.0,224493527.99,1.0,52.1,53.3077,57.31,46.89,15.7923,5.739,1.9194,0,0
003031.SZ,20210219,52.53,55.25,52.03,55.01,4280515.0,231496074.26,1.0,53.1,54.0814,58.41,47.79,16.0519,6.064,3.597,0,0
003031.SZ,20210222,54.0,57.86,53.91,56.05,4585294.0,257562301.8,1.0,55.01,56.1714,60.51,49.51,17.1949,7.1805,1.8906,0,0
003031.SZ,20210223,56.04,56.98,53.5,54.31,3458426.0,188100319.36,1.0,56.05,54.389,61.66,50.45,12.9691,6.2087,-3.1044,0,0
003031.SZ,20210224,53.99,56.9,53.72,54.8,3189007.0,176622779.0,1.0,54.31,55.3849,59.74,48.88,11.9588,5.8553,0.9022,0,0
003031.SZ,20210225,55.0,55.78,52.5,52.67,2754110.0,147518034.79,1.0,54.8,53.5629,60.28,49.32,10.3279,5.9854,-3.8869,0,0
003031.SZ,20210226,51.02,52.09,50.0,50.62,2326559.0,118885976.24,1.0,52.67,51.0995,57.94,47.4,8.7246,3.9681,-3.8922,0,0
003031.SZ,20210301,51.0,52.69,50.92,52.53,1764958.0,91990140.01,1.0,50.62,52.1203,55.68,45.56,6.6186,3.4966,3.7732,0,0
003031.SZ,20210302,52.62,55.65,51.71,55.2,3070935.0,164387006.42,1.0,52.53,53.53,57.78,47.28,11.516,7.5005,5.0828,0,0
003031.SZ,20210303,54.3,56.45,54.22,54.8,2819523.0,155721087.73,1.0,55.2,55.2296,60.72,49.68,10.5732,4.0399,-0.7246,0,0
003031.SZ,20210304,54.6,56.98,53.8,55.55,3632410.0,202401909.78,1.0,54.8,55.7211,60.28,49.32,13.6215,5.8029,1.3686,0,0
003031.SZ,20210305,54.64,59.5,52.52,58.6,3686985.0,206177802.66,1.0,55.55,55.9204,61.11,50.0,13.8262,12.5653,5.4905,0,0
003031.SZ,20210308,59.0,64.39,58.0,61.99,5699827.0,351428094.79,1.0,58.6,61.6559,64.46,52.74,21.3744,10.9044,5.785,0,0
003031.SZ,20210309,60.02,63.63,56.5,56.9,5197242.0,312711435.61,1.0,61.99,60.1687,68.19,55.79,19.4897,11.5019,-8.211,0,0
