stock_code,stock_name,current_price,ma10,ma20,ma60,vol_ma5,vol_ma20,day_change,month_change,score,selected,conditions,conditions_passed,reasons,data_count
000960,锡业股份,40.48,43.349,40.7775,38.65266666666667,107577368.2,116078886.7,-1.7714147051686613,4.06169665809768,70.94551475534246,True,"[True, False, True]",2,"['价格在MA20附近 (40.48 > 37.52)', '成交量未明显放大 (0.93倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
000938,紫光股份,30.28,28.081,27.265500000000003,28.957666666666665,225180704.4,162445097.3,4.305890458146755,8.647290993900247,70.91328721236748,True,"[True, True, True]",3,"['价格在MA20附近 (30.28 > 25.08)', '成交量放大 1.39倍', '趋势向上: MA10 > MA20, 价格 > MA60']",82
600184,光电股份,25.83,28.993000000000002,27.6795,25.615666666666666,51302494.6,49022600.75,-10.000000000000009,-2.894736842105272,70.16734550470414,True,"[True, False, True]",2,"['价格在MA20附近 (25.83 > 25.47)', '成交量未明显放大 (1.05倍)', '趋势向上: MA10 > MA20, MA20 > MA60']",82
688256,寒武纪,1353.0,1457.387,1377.6695,1348.992,13633649.0,13706902.3,-1.384839650145775,4.141009852216748,70.0594221463137,True,"[True, False, True]",2,"['价格在MA20附近 (1353.00 > 1267.46)', '成交量未明显放大 (0.99倍)', '趋势向上: MA10 > MA20, MA20 > MA60']",82
301176,逸豪新材,59.87,69.118,63.79699999999999,45.97849999999999,7735622.0,11715403.35,-1.529605263157896,44.12614347616754,66.04260687060257,True,"[True, False, True]",2,"['价格在MA20附近 (59.87 > 58.69)', '成交量未明显放大 (0.66倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
601208,东材科技,63.7,71.02600000000001,67.54799999999999,51.2195,66711447.2,87680710.85,0.0,12.226920366455252,64.87333925555697,True,"[True, False, True]",2,"['价格在MA20附近 (63.70 > 62.14)', '成交量未明显放大 (0.76倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
002281,光迅科技,217.33,248.19699999999997,235.17049999999995,189.34383333333335,47084439.4,51270023.2,-0.3941518859709392,-4.503910712716408,62.95612127144357,True,"[True, False, True]",2,"['价格在MA20附近 (217.33 > 216.36)', '成交量未明显放大 (0.92倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
002913,奥士康,57.15,63.51899999999999,60.806,55.6355,6225752.0,8352307.8,-1.4994829369183171,9.90384615384614,60.54443655579621,True,"[True, False, True]",2,"['价格在MA20附近 (57.15 > 55.94)', '成交量未明显放大 (0.75倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
688313,仕佳光子,158.57,181.573,170.96450000000002,156.44349999999997,23097546.6,28226791.7,-1.4542290721521356,1.1352764844696717,60.27185533435394,True,"[True, False, True]",2,"['价格在MA20附近 (158.57 > 157.29)', '成交量未明显放大 (0.82倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
002930,宏川智慧,9.82,9.377,9.488,12.14166666666667,34839749.0,18207984.55,-1.306532663316573,-0.908173562058523,45.0,True,"[True, True, False]",2,"['价格在MA20附近 (9.82 > 8.73)', '成交量放大 1.91倍', '趋势偏弱']",82
688700,东威科技,77.6,88.155,89.417,76.04649999999998,18217679.0,17104094.5,-1.2471366759989833,-11.617312072892938,40.40856581170731,True,"[False, True, True]",2,"['价格低于MA20的92%', '成交量放大 1.07倍', '趋势向上: MA20 > MA60, 价格 > MA60']",82
603496,恒为科技,22.73,23.93,23.4325,27.05666666666667,11101598.6,14119463.35,0.6643046944198483,0.044014084507049134,40.0,True,"[True, False, True]",2,"['价格在MA20附近 (22.73 > 21.56)', '成交量未明显放大 (0.79倍)', '趋势向上: MA10 > MA20']",82
300502,新易盛,526.0,563.8280000000001,596.5409999999999,594.5585,56187365.0,50033271.2,3.3398821218074692,-29.679144385026735,40.0,True,"[False, True, True]",2,"['价格低于MA20的92%', '成交量放大 1.12倍', '趋势向上: MA20 > MA60']",82
002065,东华软件,7.08,7.2,7.198000000000002,7.865666666666666,37091828.8,40896245.1,-0.14104372355430161,-2.7472527472527486,40.0,True,"[True, False, True]",2,"['价格在MA20附近 (7.08 > 6.62)', '成交量未明显放大 (0.91倍)', '趋势向上: MA10 > MA20']",82
000063,中兴通讯,36.38,36.924,37.3825,36.783833333333334,159201656.2,228062043.5,3.001132502831272,-7.027855865065169,40.0,True,"[True, False, True]",2,"['价格在MA20附近 (36.38 > 34.39)', '成交量未明显放大 (0.70倍)', '趋势向上: MA20 > MA60']",82
600362,江西铜业,43.28,45.515,45.052499999999995,45.62616666666668,63560912.0,76652603.15,3.244274809160297,-2.4346257889990897,40.0,True,"[True, False, True]",2,"['价格在MA20附近 (43.28 > 41.45)', '成交量未明显放大 (0.83倍)', '趋势向上: MA10 > MA20']",82
603228,景旺电子,71.97,72.006,73.81250000000001,72.30266666666667,35239535.2,40961773.95,8.765301496146293,0.8972381887004,40.0,True,"[True, False, True]",2,"['价格在MA20附近 (71.97 > 67.91)', '成交量未明显放大 (0.86倍)', '趋势向上: MA20 > MA60']",82
