ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
688048.SH,20220401,88.0,88.0,75.38,79.6,17106858.0,1385066930.0,1.0,80.8,80.9656,0.0,0.0,58.5024,15.6188,-1.4851,0,0
688048.SH,20220406,79.81,79.88,71.12,74.25,7180608.0,537349680.0,1.0,79.6,74.8335,0.0,0.0,24.5564,11.005,-6.7211,0,0
688048.SH,20220407,72.98,73.01,69.05,69.67,5981859.0,422252489.0,1.0,74.25,70.5888,0.0,0.0,20.4569,5.3333,-6.1684,0,0
688048.SH,20220408,69.2,70.5,63.95,64.64,6414891.0,427913222.0,1.0,69.67,66.7062,0.0,0.0,21.9378,9.4015,-7.2198,0,0
688048.SH,20220411,63.18,63.99,60.2,62.2,4500830.0,279453212.0,1.0,64.64,62.0893,0.0,0.0,15.392,5.8632,-3.7748,0,0
688048.SH,20220412,61.55,68.64,61.53,68.01,4885131.0,322412780.0,1.0,62.2,65.9988,74.64,49.76,16.7063,11.4309,9.3408,0,0
688048.SH,20220413,67.33,70.86,66.31,69.99,3802854.0,263195495.0,1.0,68.01,69.21,81.61,54.41,13.0051,6.6902,2.9113,0,0
688048.SH,20220414,69.99,71.93,67.67,68.97,2735961.0,190952837.0,1.0,69.99,69.7937,83.99,55.99,9.3565,6.0866,-1.4574,0,0
688048.SH,20220415,67.0,70.43,66.38,69.04,2581040.0,176220631.0,1.0,68.97,68.275,82.76,55.18,8.8267,5.8721,0.1015,0,0
688048.SH,20220418,68.0,75.02,67.68,74.6,2888818.0,210291478.0,1.0,69.04,72.795,82.85,55.23,9.8792,10.6315,8.0533,0,0
688048.SH,20220419,73.11,74.82,72.27,73.25,1580122.0,115997645.0,1.0,74.6,73.4106,89.52,59.68,5.4037,3.4182,-1.8097,0,0
688048.SH,20220420,73.33,74.5,71.5,74.2,1668834.0,122640566.0,1.0,73.25,73.4888,87.9,58.6,5.7071,4.0956,1.2969,0,0
688048.SH,20220421,73.81,76.46,72.38,75.2,1763575.0,131677022.0,1.0,74.2,74.6648,89.04,59.36,6.0311,5.4987,1.3477,0,0
688048.SH,20220422,74.8,74.99,67.67,68.5,2465342.0,175679445.0,1.0,75.2,71.2597,90.24,60.16,8.431,9.734,-8.9096,0,0
688048.SH,20220425,66.91,70.95,65.11,67.78,1882743.0,129293807.0,1.0,68.5,68.6731,82.2,54.8,6.4386,8.5255,-1.0511,0,0
688048.SH,20220426,67.78,72.47,66.01,69.3,1838935.0,127402260.0,1.0,67.78,69.2805,81.34,54.22,6.2888,9.5308,2.2425,0,0
688048.SH,20220427,68.11,73.14,67.06,71.45,1915601.0,134818356.0,1.0,69.3,70.3791,83.16,55.44,6.551,8.7734,3.1025,0,0
688048.SH,20220428,71.05,71.18,67.39,68.7,1609166.0,110624800.0,1.0,71.45,68.7467,85.74,57.16,5.5031,5.3044,-3.8488,0,0
688048.SH,20220429,68.7,74.7,68.7,73.37,1604795.0,116010355.0,1.0,68.7,72.2898,82.44,54.96,5.4881,8.7336,6.7977,0,0
688048.SH,20220505,72.2,73.75,70.88,70.88,1904938.0,137752084.0,1.0,73.37,72.3132,88.04,58.7,6.5146,3.9117,-3.3938,0,0
688048.SH,20220506,68.81,69.87,66.73,66.8,1993591.0,135240624.0,1.0,70.88,67.8377,85.06,56.7,6.8177,4.43,-5.7562,0,0
688048.SH,20220509,66.96,68.1,65.5,67.58,1019991.0,68657782.0,1.0,66.8,67.3121,80.16,53.44,3.4882,3.8922,1.1677,0,0
688048.SH,20220510,66.41,72.4,65.69,71.23,2037181.0,143339949.0,1.0,67.58,70.3619,81.1,54.06,6.9668,9.929,5.401,0,0
688048.SH,20220511,71.18,77.8,70.5,74.52,2719232.0,201678632.0,1.0,71.23,74.1675,85.48,56.98,9.2993,10.2485,4.6188,0,0
688048.SH,20220512,74.48,82.15,73.99,82.15,3664850.0,286963762.0,1.0,74.52,78.3016,89.42,59.62,12.5331,10.9501,10.2389,0,0
688048.SH,20220513,81.19,82.0,79.39,81.05,1777690.0,143587226.0,1.0,82.15,80.7718,98.58,65.72,6.0794,3.1771,-1.339,0,0
688048.SH,20220516,81.25,82.87,78.26,79.37,1206474.0,96389896.0,1.0,81.05,79.8939,97.26,64.84,4.1259,5.6878,-2.0728,0,0
688048.SH,20220517,79.28,81.77,78.53,80.74,1587829.0,128029096.0,1.0,79.37,80.6315,95.24,63.5,5.4301,4.0821,1.7261,0,0
688048.SH,20220518,80.12,81.23,77.05,78.13,1922850.0,151965896.0,1.0,80.74,79.0316,96.89,64.59,6.5758,5.1771,-3.2326,0,0
688048.SH,20220519,77.06,80.77,76.28,78.12,2126394.0,166751632.0,1.0,78.13,78.4199,93.76,62.5,7.2719,5.7468,-0.0128,0,0
688048.SH,20220520,78.09,81.38,76.5,80.08,1844377.0,145409831.0,1.0,78.12,78.8395,93.74,62.5,6.3074,6.2468,2.509,0,0
688048.SH,20220523,80.0,83.88,79.07,81.68,1894608.0,154623225.0,1.0,80.08,81.6123,96.1,64.06,6.4792,6.0065,1.998,0,0
688048.SH,20220524,81.4,81.68,74.53,75.18,2530349.0,196191510.0,1.0,81.68,77.5354,98.02,65.34,8.6533,8.7537,-7.9579,0,0
688048.SH,20220525,75.35,76.44,73.6,75.79,1456617.0,109141258.0,1.0,75.18,74.9279,90.22,60.14,4.9814,3.7776,0.8114,0,0
688048.SH,20220526,75.32,77.31,74.87,75.5,1274873.0,96999611.0,1.0,75.79,76.0857,90.95,60.63,4.3598,3.2194,-0.3826,0,0
688048.SH,20220527,75.6,77.33,74.74,76.01,1038543.0,79032023.0,1.0,75.5,76.0989,90.6,60.4,3.5516,3.4305,0.6755,0,0
688048.SH,20220530,76.54,86.18,76.54,85.17,2963436.0,244331972.0,1.0,76.01,82.4489,91.21,60.81,10.1344,12.6825,12.051,0,0
688048.SH,20220531,85.03,89.75,84.53,88.1,2804280.0,244842158.0,1.0,85.17,87.3102,102.2,68.14,9.5901,6.1289,3.4402,0,0
688048.SH,20220601,87.0,90.21,86.33,89.2,1707433.0,151205591.0,1.0,88.1,88.5573,105.72,70.48,5.8391,4.4041,1.2486,0,0
688048.SH,20220602,89.8,92.87,88.03,91.37,2452403.0,222613993.0,1.0,89.2,90.7738,107.04,71.36,8.3868,5.426,2.4327,0,0
688048.SH,20220606,94.88,102.7,92.32,98.5,4254581.0,416338849.0,1.0,91.37,97.8566,109.64,73.1,14.5499,11.3604,7.8034,0,0
688048.SH,20220607,97.14,101.46,96.0,99.44,2505218.0,246082052.0,1.0,98.5,98.2278,118.2,78.8,8.5674,5.5431,0.9543,0,0
688048.SH,20220608,99.4,103.88,96.9,98.4,2413776.0,240800354.0,1.0,99.44,99.7609,119.33,79.55,8.2547,7.0193,-1.0459,0,0
688048.SH,20220609,98.49,101.85,94.5,94.5,2375091.0,229886296.0,1.0,98.4,96.7905,118.08,78.72,8.1224,7.4695,-3.9634,0,0
688048.SH,20220610,93.5,97.3,92.91,97.0,2061110.0,196998708.0,1.0,94.5,95.5789,113.4,75.6,7.0486,4.6455,2.6455,0,0
688048.SH,20220613,96.85,99.74,95.0,95.74,1596246.0,154449969.0,1.0,97.0,96.7582,116.4,77.6,5.4589,4.8866,-1.299,0,0
688048.SH,20220614,94.88,94.88,89.27,92.5,2133921.0,195144976.0,1.0,95.74,91.449,114.89,76.59,7.2976,5.8596,-3.3842,0,0
688048.SH,20220615,92.5,97.85,91.87,92.03,1764007.0,166232049.0,1.0,92.5,94.2355,111.0,74.0,6.0326,6.4649,-0.5081,0,0
688048.SH,20220616,92.16,95.96,92.0,94.29,1330910.0,125735184.0,1.0,92.03,94.4731,110.44,73.62,4.5515,4.3029,2.4557,0,0
688048.SH,20220617,92.54,97.0,92.34,95.38,1425020.0,134764446.0,1.0,94.29,94.5702,113.15,75.43,4.8733,4.9422,1.156,0,0
688048.SH,20220620,96.8,98.7,92.01,96.36,1623277.0,155541438.0,1.0,95.38,95.8194,114.46,76.3,5.5513,7.014,1.0275,0,0
688048.SH,20220621,96.05,104.99,94.08,99.5,2062899.0,206247011.0,1.0,96.36,99.9792,115.63,77.09,7.0547,11.3221,3.2586,0,0
688048.SH,20220622,100.5,109.0,100.5,105.6,2865896.0,301556933.0,1.0,99.5,105.223,119.4,79.6,9.8009,8.5427,6.1307,0,0
688048.SH,20220623,105.0,113.31,102.0,111.21,2911246.0,313478610.0,1.0,105.6,107.678,126.72,84.48,9.9559,10.7102,5.3125,0,0
688048.SH,20220624,108.93,113.38,107.05,111.5,1877293.0,207285176.0,1.0,111.21,110.417,133.45,88.97,6.42,5.6919,0.2608,0,0
688048.SH,20220627,112.5,115.77,109.28,110.61,1715535.0,191735907.0,1.0,111.5,111.765,133.8,89.2,5.8668,5.8206,-0.7982,0,0
688048.SH,20220628,110.85,114.86,108.18,114.0,1614653.0,179782138.0,1.0,110.61,111.344,132.73,88.49,5.5218,6.0392,3.0648,0,0
688048.SH,20220629,112.0,115.7,109.79,110.16,1463300.0,163975125.0,1.0,114.0,112.058,136.8,91.2,5.0042,5.1842,-3.3684,0,0
688048.SH,20220630,111.06,122.8,111.06,121.68,1953533.0,231105590.0,1.0,110.16,118.301,132.19,88.13,6.6807,10.6572,10.4575,0,0
688048.SH,20220701,121.05,124.84,117.5,119.25,1339989.0,160998901.0,1.0,121.68,120.149,146.02,97.34,4.5825,6.0322,-1.997,0,0
688048.SH,20220704,119.7,119.8,113.0,118.3,1485367.0,173985887.0,1.0,119.25,117.133,143.1,95.4,5.0797,5.7023,-0.7966,0,0
688048.SH,20220705,118.45,120.8,111.5,113.0,1928257.0,220241542.0,1.0,118.3,114.218,141.96,94.64,6.5943,7.8614,-4.4801,0,0
688048.SH,20220706,113.0,116.88,111.6,113.77,1149646.0,131541473.0,1.0,113.0,114.419,135.6,90.4,3.9316,4.6726,0.6814,0,0
688048.SH,20220707,116.1,123.69,114.5,122.01,1634685.0,195628697.0,1.0,113.77,119.674,136.52,91.02,5.5903,8.0777,7.2427,0,0
688048.SH,20220708,123.0,126.5,120.02,122.42,1304906.0,161417084.0,1.0,122.01,123.7,146.41,97.61,4.4625,5.311,0.336,0,0
688048.SH,20220711,121.5,122.71,118.0,121.37,1465746.0,175391141.0,1.0,122.42,119.66,146.9,97.94,5.0126,3.8474,-0.8577,0,0
688048.SH,20220712,120.8,120.8,109.5,110.02,2335137.0,264649213.0,1.0,121.37,113.334,145.64,97.1,7.9858,9.3104,-9.3516,0,0
688048.SH,20220713,109.19,112.8,104.8,110.22,1890685.0,206012031.0,1.0046,109.52,108.962,131.42,87.62,6.4658,7.3046,0.6392,0,0
688048.SH,20220714,111.0,117.52,109.66,114.38,1279017.0,146598243.0,1.0046,110.22,114.618,132.26,88.18,4.374,7.1312,3.7743,0,0
688048.SH,20220715,114.38,119.25,113.0,114.38,1076236.0,124973517.0,1.0046,114.38,116.121,137.26,91.5,3.6805,5.4642,0.0,0,0
688048.SH,20220718,114.57,125.99,112.5,125.65,1787304.0,214418679.0,1.0046,114.38,119.968,137.26,91.5,6.1123,11.794,9.8531,0,0
688048.SH,20220719,125.01,128.49,122.0,127.15,1257987.0,158099123.0,1.0046,125.65,125.676,150.78,100.52,4.3021,5.1651,1.1938,0,0
688048.SH,20220720,127.14,129.08,122.14,123.4,1119064.0,139812975.0,1.0046,127.15,124.937,152.58,101.72,3.827,5.4581,-2.9493,0,0
688048.SH,20220721,122.68,135.0,122.19,129.4,2081602.0,269795544.0,1.0046,123.4,129.61,148.08,98.72,7.1187,10.3809,4.8622,0,0
688048.SH,20220722,128.48,134.0,127.35,131.87,1242620.0,162945148.0,1.0046,129.4,131.13,155.28,103.52,4.2495,5.1391,1.9088,0,0
688048.SH,20220725,130.6,143.5,130.12,140.49,1632480.0,227205769.0,1.0046,131.87,139.178,158.24,105.5,5.5828,10.1464,6.5367,0,0
688048.SH,20220726,140.49,147.0,137.88,141.8,1313276.0,186135065.0,1.0046,140.49,141.733,168.59,112.39,4.4912,6.4916,0.9325,0,0
688048.SH,20220727,140.0,143.54,138.0,140.5,980238.0,138113646.0,1.0046,141.8,140.898,170.16,113.44,3.3522,3.9069,-0.9168,0,0
688048.SH,20220728,140.69,150.37,140.69,150.0,1797164.0,263454581.0,1.0046,140.5,146.595,168.6,112.4,6.146,6.8897,6.7616,0,0
688048.SH,20220729,148.41,154.5,138.28,141.28,2494325.0,356166549.0,1.0046,150.0,142.791,180.0,120.0,8.5301,10.8133,-5.8133,0,0
688048.SH,20220801,141.98,146.71,136.74,141.99,1718952.0,244457250.0,1.0046,141.28,142.213,169.54,113.02,5.8785,7.0569,0.5025,0,0
688048.SH,20220802,141.9,163.0,137.0,156.3,2927506.0,437586227.0,1.0046,141.99,149.474,170.39,113.59,10.0116,18.3111,10.0782,0,0
688048.SH,20220803,157.57,163.3,148.0,151.52,3126217.0,485658433.0,1.0046,156.3,155.35,187.56,125.04,10.6911,9.7889,-3.0582,0,0
688048.SH,20220804,152.87,153.98,147.5,153.04,1644230.0,247786978.0,1.0046,151.52,150.701,181.82,121.22,5.623,4.2767,1.0032,0,0
688048.SH,20220805,153.0,154.6,146.2,148.7,2274411.0,339798952.0,1.0046,153.04,149.401,183.65,122.43,7.7781,5.4888,-2.8359,0,0
688048.SH,20220808,148.6,149.55,139.15,147.12,2003560.0,289148138.0,1.0046,148.7,144.317,178.44,118.96,6.8518,6.9939,-1.0625,0,0
688048.SH,20220809,150.04,150.87,142.0,149.49,1651860.0,241955402.0,1.0046,147.12,146.475,176.54,117.7,5.6491,6.0291,1.6109,0,0
688048.SH,20220810,147.02,152.61,144.0,145.0,1525419.0,224508424.0,1.0046,149.49,147.178,179.39,119.59,5.2167,5.7596,-3.0035,0,0
688048.SH,20220811,146.9,161.84,146.9,157.5,2359917.0,372044158.0,1.0046,145.0,157.651,174.0,116.0,8.0705,10.3034,8.6207,0,0
688048.SH,20220812,157.11,158.0,140.15,140.88,2489595.0,364832577.0,1.0046,157.5,146.543,189.0,126.0,8.514,11.3333,-10.5524,0,0
688048.SH,20220815,139.88,144.9,138.0,142.0,1327599.0,188126316.0,1.0046,140.88,141.704,169.06,112.7,4.5402,4.8978,0.795,0,0
688048.SH,20220816,136.3,144.55,133.53,135.8,3142851.0,434902885.0,1.0046,142.0,138.378,170.4,113.6,10.748,7.7606,-4.3662,0,0
688048.SH,20220817,136.23,141.78,134.14,138.3,2113817.0,292427616.0,1.0046,135.8,138.341,162.96,108.64,7.2289,5.6259,1.8409,0,0
688048.SH,20220818,134.0,148.0,134.0,145.6,1998627.0,287284980.0,1.0046,138.3,143.741,165.96,110.64,6.835,10.1229,5.2784,0,0
688048.SH,20220819,147.49,151.0,137.55,138.0,2165557.0,313023885.0,1.0046,145.6,144.547,174.72,116.48,7.4058,9.2376,-5.2198,0,0
688048.SH,20220822,137.33,141.88,135.5,138.16,1315029.0,182142821.0,1.0046,138.0,138.509,165.6,110.4,4.4972,4.6232,0.1159,0,0
688048.SH,20220823,137.46,149.77,136.02,144.3,1750786.0,254538752.0,1.0046,138.16,145.385,165.79,110.53,5.9874,9.9522,4.4441,0,0
688048.SH,20220824,144.3,145.0,134.18,135.0,1695497.0,234188009.0,1.0046,144.3,138.124,173.16,115.44,5.7983,7.4983,-6.4449,0,0
688048.SH,20220825,136.0,137.72,126.31,127.86,2066935.0,267640548.0,1.0046,135.0,129.487,162.0,108.0,7.0686,8.4519,-5.2889,0,0
688048.SH,20220826,128.5,130.86,123.2,124.05,1588231.0,201104044.0,1.0046,127.86,126.621,153.43,102.29,5.4315,5.9909,-2.9798,0,0
688048.SH,20220829,120.27,135.0,119.11,129.38,2049196.0,265425714.0,1.0046,124.05,129.527,148.86,99.24,7.0079,12.8094,4.2967,0,0
688048.SH,20220830,128.06,129.96,125.66,126.22,1115018.0,142026956.0,1.0046,129.38,127.376,155.26,103.5,3.8132,3.3235,-2.4424,0,0
688048.SH,20220831,126.22,127.55,118.22,119.3,1413604.0,171668894.0,1.0046,126.22,121.441,151.46,100.98,4.8343,7.3919,-5.4825,0,0
688048.SH,20220901,119.46,121.75,117.0,117.44,806474.0,95658160.0,1.0046,119.3,118.613,143.16,95.44,2.758,3.9816,-1.5591,0,0
688048.SH,20220902,117.75,123.76,117.58,122.16,1025215.0,124239537.0,1.0046,117.44,121.184,140.93,93.95,3.5061,5.2623,4.0191,0,0
688048.SH,20220905,121.8,122.5,116.18,120.52,1463694.0,175084178.0,1.0046,122.16,119.618,146.59,97.73,5.0056,5.1735,-1.3425,0,0
688048.SH,20220906,122.94,131.0,122.94,128.62,2032604.0,257427591.0,1.0046,120.52,126.649,144.62,96.42,6.9511,6.6877,6.7209,0,0
688048.SH,20220907,126.9,142.0,126.9,138.97,2314790.0,317140260.0,1.0046,128.62,137.006,154.34,102.9,7.9162,11.74,8.047,0,0
688048.SH,20220908,137.59,141.47,137.5,138.99,1327318.0,185355279.0,1.0046,138.97,139.646,166.76,111.18,4.5392,2.8567,0.0144,0,0
688048.SH,20220909,139.59,140.57,129.5,130.45,1719795.0,228323948.0,1.0046,138.99,132.762,166.79,111.19,5.8814,7.9646,-6.1443,0,0
688048.SH,20220913,130.18,133.99,122.0,125.4,2443126.0,307237823.0,1.0046,130.45,125.756,156.54,104.36,8.3551,9.1913,-3.8712,0,0
688048.SH,20220914,123.06,131.98,122.98,130.24,1747709.0,224564072.0,1.0046,125.4,128.49,150.48,100.32,5.9769,7.177,3.8596,0,0
688048.SH,20220915,129.04,131.27,119.05,119.93,1661914.0,202763655.0,1.0046,130.24,122.006,156.29,104.19,5.6835,9.3827,-7.9162,0,0
688048.SH,20220916,120.16,121.7,117.73,117.73,1246881.0,149255488.0,1.0046,119.93,119.703,143.92,95.94,4.2641,3.3103,-1.8344,0,0
688048.SH,20220919,116.8,121.8,116.0,118.41,1332391.0,157909220.0,1.0046,117.73,118.516,141.28,94.18,4.5565,4.9265,0.5776,0,0
688048.SH,20220920,119.51,121.28,115.4,119.14,1039204.0,123524878.0,1.0046,118.41,118.865,142.09,94.73,3.5539,4.9658,0.6165,0,0
688048.SH,20220921,118.0,120.0,115.08,115.31,951895.0,110888926.0,1.0046,119.14,116.493,142.97,95.31,3.2553,4.1296,-3.2147,0,0
688048.SH,20220922,115.54,118.48,111.54,116.65,1319889.0,152268532.0,1.0046,115.31,115.365,138.37,92.25,4.5138,6.0186,1.1621,0,0
688048.SH,20220923,115.5,116.77,107.96,109.49,2216857.0,245628774.0,1.0046,116.65,110.8,139.98,93.32,7.5813,7.5525,-6.138,0,0
688048.SH,20220926,109.2,113.59,108.14,110.38,1226386.0,136187529.0,1.0046,109.49,111.048,131.39,87.59,4.194,4.9776,0.8129,0,0
688048.SH,20220927,111.59,114.36,110.59,113.78,1274810.0,144358088.0,1.0046,110.38,113.239,132.46,88.3,4.3596,3.4155,3.0803,0,0
688048.SH,20220928,114.03,115.5,108.0,108.2,1149492.0,127179168.0,1.0046,113.78,110.64,136.54,91.02,3.9311,6.5917,-4.9042,0,0
688048.SH,20220929,109.13,115.0,108.8,113.81,1244038.0,139881052.0,1.0046,108.2,112.441,129.84,86.56,4.2544,5.7301,5.1848,0,0
688048.SH,20220930,114.13,114.17,108.3,108.5,1150671.0,126952935.0,1.0046,113.81,110.329,136.57,91.05,3.9351,5.1577,-4.6657,0,0
688048.SH,20221010,106.86,106.86,95.62,96.09,2885242.0,286844805.0,1.0046,108.5,99.4179,130.2,86.8,9.2408,10.3594,-11.4378,0,0
688048.SH,20221011,96.27,100.53,95.47,97.51,1116045.0,109418793.0,1.0046,96.09,98.0416,115.31,76.87,3.5744,5.2659,1.4778,0,0
688048.SH,20221012,98.33,107.48,96.14,106.99,1949225.0,197768908.0,1.0046,97.51,101.46,117.01,78.01,6.2429,11.6296,9.7221,0,0
688048.SH,20221013,105.51,110.8,103.46,103.88,1445710.0,154413075.0,1.0046,106.99,106.808,128.39,85.59,4.6303,6.8605,-2.9068,0,0
688048.SH,20221014,106.5,108.1,101.83,107.4,1483267.0,156184912.0,1.0046,103.88,105.298,124.66,83.1,4.7506,6.0358,3.3885,0,0
688048.SH,20221017,105.13,110.0,103.5,107.18,1516826.0,161743969.0,1.0046,107.4,106.633,128.88,85.92,4.858,6.0521,-0.2048,0,0
688048.SH,20221018,107.68,107.68,98.68,100.78,3200109.0,323489398.0,1.0046,107.18,101.087,128.62,85.74,10.2492,8.3971,-5.9713,0,0
688048.SH,20221019,99.77,102.76,97.43,99.83,2094243.0,209807462.0,1.0046,100.78,100.183,120.94,80.62,6.7074,5.2887,-0.9426,0,0
688048.SH,20221020,99.74,105.45,96.8,103.03,3015891.0,308855377.0,1.0046,99.83,102.409,119.8,79.86,9.6592,8.6647,3.2054,0,0
