ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
600110.SH,20140102,6.05,6.09,6.0,6.05,9249662.0,55836686.0,11.3726,6.09,6.0366,6.7,5.48,0.8041,1.4778,-0.6568,0,0
600110.SH,20140103,6.09,6.11,5.97,5.98,9434845.0,56802703.0,11.3726,6.05,6.0205,6.66,5.45,0.8202,2.314,-1.157,0,0
600110.SH,20140106,5.99,5.99,5.65,5.68,14199617.0,81853221.0,11.3726,5.98,5.7645,6.58,5.38,1.2344,5.6856,-5.0167,0,0
600110.SH,20140107,5.6,5.75,5.56,5.71,6914597.0,39124692.0,11.3726,5.68,5.6583,6.25,5.11,0.6011,3.3451,0.5282,0,0
600110.SH,20140108,5.73,5.74,5.58,5.6,7273082.0,41141280.0,11.3726,5.71,5.6567,6.28,5.14,0.6323,2.8021,-1.9264,0,0
600110.SH,20140109,5.64,5.65,5.4,5.43,10565081.0,58420594.0,11.3726,5.6,5.5296,6.16,5.04,0.9185,4.4643,-3.0357,0,0
600110.SH,20140110,5.4,5.46,4.89,4.98,37317273.0,187112090.0,11.3726,5.43,5.0141,5.97,4.89,3.2441,10.4972,-8.2873,0,0
600110.SH,20140113,4.88,5.04,4.8,4.97,16734792.0,82585259.0,11.3726,4.98,4.9349,5.48,4.48,1.4548,4.8193,-0.2008,0,0
600110.SH,20140114,4.97,5.04,4.9,5.03,7717866.0,38556717.0,11.3726,4.97,4.9958,5.47,4.47,0.6709,2.8169,1.2072,0,0
600110.SH,20140115,5.01,5.06,4.97,5.0,8384564.0,41948387.0,11.3726,5.03,5.003,5.53,4.53,0.7289,1.7893,-0.5964,0,0
600110.SH,20140116,5.0,5.04,4.88,4.98,9663408.0,47908150.0,11.3726,5.0,4.9577,5.5,4.5,0.8401,3.2,-0.4,0,0
600110.SH,20140117,4.9,4.94,4.85,4.89,8680957.0,42461660.0,11.3726,4.98,4.8914,5.48,4.48,0.7547,1.8072,-1.8072,0,0
600110.SH,20140120,4.98,4.99,4.64,4.71,13033605.0,61900506.0,11.3726,4.89,4.7493,5.38,4.4,1.133,7.1575,-3.681,0,0
600110.SH,20140121,4.67,4.82,4.67,4.73,7434098.0,35266203.0,11.3726,4.71,4.7438,5.18,4.24,0.6463,3.1847,0.4246,0,0
600110.SH,20140122,4.71,4.88,4.7,4.87,9359432.0,45131211.0,11.3726,4.73,4.822,5.2,4.26,0.8136,3.8055,2.9598,0,0
600110.SH,20140123,4.87,5.12,4.82,5.06,13522204.0,66686212.0,11.3726,4.87,4.9316,5.36,4.38,1.1755,6.1602,3.9014,0,0
600110.SH,20140124,4.99,5.11,4.95,5.08,14558236.0,73694500.0,11.3726,5.06,5.062,5.57,4.55,1.2656,3.1621,0.3953,0,0
600110.SH,20140127,5.04,5.12,5.0,5.06,10249889.0,51975124.0,11.3726,5.08,5.0708,5.59,4.57,0.8911,2.3622,-0.3937,0,0
600110.SH,20140128,5.06,5.11,5.03,5.08,5743821.0,29100366.0,11.3726,5.06,5.0664,5.57,4.55,0.4993,1.581,0.3953,0,0
600110.SH,20140129,5.05,5.08,5.02,5.06,4982858.0,25135931.0,11.3726,5.08,5.0445,5.59,4.57,0.4332,1.1811,-0.3937,0,0
600110.SH,20140130,5.06,5.5,4.98,5.45,13473237.0,70294387.0,11.3726,5.06,5.2173,5.57,4.55,1.1713,10.2767,7.7075,0,0
600110.SH,20140207,5.26,5.44,5.23,5.38,11735013.0,62800226.0,11.3726,5.45,5.3515,6.0,4.91,1.0202,3.8532,-1.2844,0,0
600110.SH,20140210,5.37,5.58,5.29,5.52,16109901.0,88411779.0,11.3726,5.38,5.488,5.92,4.84,1.4005,5.3903,2.6022,0,0
600110.SH,20140211,5.51,5.55,5.41,5.52,12331089.0,67696192.0,11.3726,5.52,5.4899,6.07,4.97,1.072,2.5362,0.0,0,0
600110.SH,20140212,5.55,5.6,5.47,5.55,10904608.0,60292449.0,11.3726,5.52,5.5291,6.07,4.97,0.948,2.3551,0.5435,0,0
600110.SH,20140213,5.5,5.61,5.45,5.45,12468864.0,68967446.0,11.3726,5.55,5.5312,6.11,5.0,1.084,2.8829,-1.8018,0,0
600110.SH,20140214,5.44,5.52,5.4,5.45,10230770.0,55747449.0,11.3726,5.45,5.449,6.0,4.91,0.8894,2.2018,0.0,0,0
600110.SH,20140217,5.46,5.58,5.43,5.53,12358570.0,68330610.0,11.3726,5.45,5.529,6.0,4.91,1.0744,2.7523,1.4679,0,0
600110.SH,20140218,5.52,5.6,5.49,5.55,12678683.0,70187421.0,11.3726,5.53,5.5359,6.08,4.98,1.1022,1.9892,0.3617,0,0
600110.SH,20140219,5.51,5.58,5.51,5.55,12032363.0,66713659.0,11.3726,5.55,5.5445,6.11,5.0,1.046,1.2613,0.0,0,0
600110.SH,20140220,5.54,5.58,5.3,5.31,17822927.0,96914340.0,11.3726,5.55,5.4376,6.11,5.0,1.5494,5.045,-4.3243,0,0
600110.SH,20140221,5.28,5.35,5.12,5.2,13621646.0,71413006.0,11.3726,5.31,5.2426,5.84,4.78,1.1842,4.3315,-2.0716,0,0
600110.SH,20140224,5.18,5.19,5.03,5.07,13172980.0,67031168.0,11.3726,5.2,5.0885,5.72,4.68,1.1452,3.0769,-2.5,0,0
600110.SH,20140225,5.06,5.11,4.84,4.95,12796218.0,64021551.0,11.3726,5.07,5.0032,5.58,4.56,1.1124,5.3254,-2.3669,0,0
600110.SH,20140226,4.89,5.2,4.86,5.19,13717030.0,69281695.0,11.3726,4.95,5.0508,5.45,4.46,1.1925,6.8687,4.8485,0,0
600110.SH,20140227,5.12,5.33,5.12,5.15,14596189.0,76090673.0,11.3726,5.19,5.2131,5.71,4.67,1.2689,4.0462,-0.7707,0,0
600110.SH,20140228,5.1,5.19,5.05,5.18,8356936.0,42751977.0,11.3726,5.15,5.1157,5.67,4.64,0.7265,2.7184,0.5825,0,0
600110.SH,20140303,5.18,5.26,5.13,5.23,9267883.0,48240319.0,11.3726,5.18,5.2051,5.7,4.66,0.8057,2.5097,0.9653,0,0
600110.SH,20140304,5.2,5.57,5.12,5.45,25884670.0,139571652.0,11.3726,5.23,5.3921,5.75,4.71,2.2502,8.6042,4.2065,0,0
600110.SH,20140305,5.46,5.51,5.36,5.36,11464695.0,62045414.0,11.3726,5.45,5.4119,6.0,4.91,0.9967,2.7523,-1.6514,0,0
600110.SH,20140306,5.33,5.4,5.3,5.34,7975418.0,42625119.0,11.3726,5.36,5.3446,5.9,4.82,0.6933,1.8657,-0.3731,0,0
600110.SH,20140307,5.32,5.45,5.25,5.27,8959830.0,47842593.0,11.3726,5.34,5.3397,5.87,4.81,0.7789,3.7453,-1.3109,0,0
600110.SH,20140310,5.08,5.14,4.93,5.0,11594046.0,58385044.0,11.3726,5.27,5.0358,5.8,4.74,1.0079,3.9848,-5.1233,0,0
600110.SH,20140311,5.0,5.1,4.97,5.05,6975398.0,35121659.0,11.3726,5.0,5.0351,5.5,4.5,0.6064,2.6,1.0,0,0
